source_id,source,tf_id,restaurant_url,restaurant_name,latitude,longitude,address,street,house_number,postal_code,city,rating,review_count,has_rating,has_review_count,low_review,avg_price_eur,discount_pct,has_discount,cuisines,dietary_options,has_hours,photo_count,has_reviews,sample_size,sample_avg_rating,rating_sample_divergent,flags
ciccio-pizza-umbria-r389533,thefork,389533,https://www.thefork.it/ristorante/ciccio-pizza-umbria-r389533,Ciccio Pizza Umbria,45.454905,9.2164248,"Viale Umbria, 64, Milano, 20135, Italia",Viale Umbria,64,20135,Milano,7.8,2709,1,1,0,20,30,1,['Italiano'],[],1,44,1,5,9.2,1,['rating_sample_divergent']
circolo-canottieri-milano-r838390,thefork,838390,https://www.thefork.it/ristorante/circolo-canottieri-milano-r838390,Circolo Canottieri Milano,45.44669409999999,9.1496111,"Alzaia Naviglio Grande, 160, Milano, 20144, Italia",Alzaia Naviglio Grande,160,20144,Milano,8.7,47,1,1,0,38,30,1,['Italiano'],[],0,11,1,5,8.7,0,[]
clotilde-bistrot-r202250,thefork,202250,https://www.thefork.it/ristorante/clotilde-bistrot-r202250,Clotilde Bistrot,45.4796374,9.1951284,"Via Galileo Galilei, 2, Milano, 20124, Italia",Via Galileo Galilei,2,20124,Milano,8.5,505,1,1,0,40,,0,['Cucina internazionale'],[],1,43,1,5,8.6,0,[]
clover-burger-r754993,thefork,754993,https://www.thefork.it/ristorante/clover-burger-r754993,Clover Burger,45.4891684,9.2105119,"Viale Brianza, 32, Milano, 20127, Italia",Viale Brianza,32,20127,Milano,9.0,304,1,1,0,24,20,1,['Americano'],[],1,36,1,5,7.8,1,['rating_sample_divergent']
coke-tales-r804004,thefork,804004,https://www.thefork.it/ristorante/coke-tales-r804004,Coke Tales,45.47452490000001,9.2068133,"Via Marcello Malpighi, 1, Milano, 20129, Italia",Via Marcello Malpighi,1,20129,Milano,7.8,104,1,1,0,15,,0,['Americano'],[],1,19,1,5,7.3,0,[]
conterpizza-r857010,thefork,857010,https://www.thefork.it/ristorante/conterpizza-r857010,Conterpizza,45.4868014,9.233257799999999,"Via Eugenio Carpi, 5, Milano, 20131, Italia",Via Eugenio Carpi,5,20131,Milano,,1,0,1,1,18,,0,['Italiano'],[],0,7,1,1,9.5,0,"['no_rating', 'low_review']"
cortile-flora-r849019,thefork,849019,https://www.thefork.it/ristorante/cortile-flora-r849019,Cortile Flora,45.4793105,9.1836515,"Via Alessandro Volta, 7A, Milano, 20121, Italia",Via Alessandro Volta,7A,20121,Milano,8.3,51,1,1,0,29,30,1,[],[],0,17,1,5,7.4,0,[]
crocca-milano-via-california-r833516,thefork,833516,https://www.thefork.it/ristorante/crocca-milano-via-california-r833516,Crocca - Milano Via California,45.4581947,9.161157200000002,"Via California, 15, Milano, 20144, Italia",Via California,15,20144,Milano,8.7,379,1,1,0,20,,0,['Pizzeria'],[],0,44,1,5,7.0,1,['rating_sample_divergent']
crocca-milano-via-fiamma-r833514,thefork,833514,https://www.thefork.it/ristorante/crocca-milano-via-fiamma-r833514,Crocca - Milano Via Fiamma,45.4628819,9.2114792,"Via Galvano Fiamma, 4, Milano, 20129, Italia",Via Galvano Fiamma,4,20129,Milano,8.0,310,1,1,0,30,,0,['Pizzeria'],[],0,39,1,5,6.3,1,['rating_sample_divergent']
crocca-milano-via-melzi-d-eril-r833519,thefork,833519,https://www.thefork.it/ristorante/crocca-milano-via-melzi-d-eril-r833519,Crocca - Milano Via Melzi D'Eril,45.4776928,9.1740703,"Via Francesco Melzi d'Eril, 3, Milano, 20154, Italia",Via Francesco Melzi d'Eril,3,20154,Milano,7.9,190,1,1,0,20,,0,['Pizzeria'],[],0,33,1,5,6.4,1,['rating_sample_divergent']
crocca-milano-via-plinio-r833518,thefork,833518,https://www.thefork.it/ristorante/crocca-milano-via-plinio-r833518,Crocca - Milano Via Plinio,45.4751954,9.2205075,"Via Plinio, 64, Milano, 20129, Italia",Via Plinio,64,20129,Milano,7.7,238,1,1,0,20,,0,['Pizzeria'],[],0,39,1,5,4.9,1,['rating_sample_divergent']
crocca-milano-via-vigevano-r833520,thefork,833520,https://www.thefork.it/ristorante/crocca-milano-via-vigevano-r833520,Crocca - Milano Via Vigevano,45.4528253,9.1724521,"Via Vigevano, 29, Milano, 20144, Italia",Via Vigevano,29,20144,Milano,8.1,148,1,1,0,20,,0,['Pizzeria'],[],0,28,1,5,5.5,1,['rating_sample_divergent']
cucina-franca-r848079,thefork,848079,https://www.thefork.it/ristorante/cucina-franca-r848079,Cucina Franca,45.457507,9.2160993,"Via Friuli, 78, Milano, 20135, Italia",Via Friuli,78,20135,Milano,,,0,0,0,34,,0,['Fusion'],[],0,2,0,0,,0,"['no_rating', 'missing_review_count']"
d-ire-mini-bakery-bistrot-r717611,thefork,717611,https://www.thefork.it/ristorante/d-ire-mini-bakery-bistrot-r717611,D'ire Mini Bakery & Bistrot,45.4657716,9.1592839,"Via Domenico Cimarosa, 5, Milano, 20144, Italia",Via Domenico Cimarosa,5,20144,Milano,9.1,164,1,1,0,15,30,1,"['Cucina internazionale', 'Europeo', 'Italiano']",['vegetarian'],1,15,1,5,7.4,1,['rating_sample_divergent']
da-giacomo-arengario-r752163,thefork,752163,https://www.thefork.it/ristorante/da-giacomo-arengario-r752163,Da Giacomo - Arengario,45.4633388,9.1898507,"Via Guglielmo Marconi, 1, Milano, 20123, Italia",Via Guglielmo Marconi,1,20123,Milano,,18,0,1,0,100,,0,['Cucina locale'],[],1,12,1,3,7.83,0,['no_rating']
da-giacomo-r752152,thefork,752152,https://www.thefork.it/ristorante/da-giacomo-r752152,Da Giacomo,45.4654102,9.2083697,"Via Pasquale Sottocorno, 6, Milano, 20129, Italia",Via Pasquale Sottocorno,6,20129,Milano,8.8,60,1,1,0,100,,0,['Cucina locale'],[],1,30,1,5,8.4,0,[]
da-gigi-ristorante-r742987,thefork,742987,https://www.thefork.it/ristorante/da-gigi-ristorante-r742987,Da Gigi Ristorante,45.4810673,9.2039789,"Via Mauro Macchi, 2, Milano, 20124, Italia",Via Mauro Macchi,2,20124,Milano,8.9,1020,1,1,0,24,30,1,"['Italiano', 'Lombardo', 'Pizzeria', 'Europeo']",[],1,15,1,5,8.7,0,[]
da-noi-in-r580643,thefork,580643,https://www.thefork.it/ristorante/da-noi-in-r580643,Da Noi In,45.4525663,9.1669327,"Via Vincenzo Forcella, 6, Milano, 20144, Italia",Via Vincenzo Forcella,6,20144,Milano,7.3,65,1,1,0,50,20,1,"['Di Pesce', 'Italiano', 'Mediterraneo', 'Milanese', 'Europeo', 'Lombardo']",['vegetarian'],1,22,1,5,9.0,1,['rating_sample_divergent']
