source,record_id,issue_type,field,value,detail
Google Places,ChIJ0YVQuwvHhkcRksg477amNIs,low_review_count,review_count,1,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0ZUFsq_FhkcRcY0oIX1hjx4,low_review_count,review_count,7,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0_I1MdHAhkcRkil7R7pZLLs,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0_I1MdHAhkcRkil7R7pZLLs,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0aZ2EQDBhkcRlnEOpYfSSzc,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0aZ2EQDBhkcRlnEOpYfSSzc,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0bXXEfHBhkcRVJw-ol0avOs,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0c0ssnbDhkcRNt6U15OJcgQ,low_review_count,review_count,12,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0ceZTSTHhkcRiiKyJz1q6w8,low_review_count,review_count,2,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0dcM2VC_hkcRh5EylJ4SvyE,low_review_count,review_count,2,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0e4CAuHGhkcRKIflVwJTyaQ,low_review_count,review_count,7,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0fyS9NTGhkcR6KbX_y_nlgY,low_review_count,review_count,9,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0x1dBMzFhkcRKEOzvKKA-no,low_review_count,review_count,2,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0xunkHzHhkcRiTtzyP1zye4,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0xunkHzHhkcRiTtzyP1zye4,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0yKxQ8LAhkcRTSYYJPzRzQ8,low_review_count,review_count,16,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0yOwOvfDhkcRAGMqmPqN6Qc,low_review_count,review_count,13,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0yiTNF3AhkcReBa-0qBLqy4,low_review_count,review_count,8,Review count is below 20; ratings are less reliable.
